,id,s1,s2,score,BERT
0,sts_train_4024,Sudan Blocks YouTube Over Anti-Islam Film,Pakistan's PM orders YouTube halt over anti-Islam film,0.5599999999999999,0.5564231276512146
1,sts_train_1409,A man riding a white horse.,A woman leading a white horse.,0.36,0.334312230348587
2,sts_train_3397,Mr Morse is charged with assault and Mr Darvish is charged with filing a false report.,His partner Bijan Darvish is charged with filing a false police report.,0.55,0.4695009291172027
3,sts_train_1532,A girl playing is a pile of colorful balls.,A little girl plays in a pit of colorful balls.,1.0,1.0087584257125854
4,sick_train_1874,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,0.98,0.94328773021698
5,sts_train_133,A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.,0.8,0.9370699524879456
6,sick_train_3487,The girl is riding the horse,The man is riding the horse,0.58,0.6170145869255066
7,sick_train_896,A man elegantly dressed in black is wearing an elaborate black mask,A man dressed in black is wearing an elaborate black mask,0.94,0.9339637160301208
8,sick_train_1506,A woman is snowboarding down a railing in the snow,A man is skiing down a hill and over a red obstacle,0.52,0.5787654519081116
9,sick_train_4760,A cluster of four brown dogs are playing in a field of brown grass,A group of four brown dogs are playing in a field of brown grass,0.96,0.9254925847053528
10,sts_train_207,Two men are talking.,Two men are playing guitar.,0.3,0.4260843396186828
11,sts_train_2680,"He urged patience from Americans eager for the service, which is intended to block about 80 percent of telemarketing calls.",The free service was originally intended to block about 80 percent of telemarketer calls.,0.6000000000000001,0.638708770275116
12,sts_train_1298,"A black and white photo of a living room with a large window, sofa, and chair.",A black and white scene of a well furnished room with a view outlooking a forest.,0.6000000000000001,0.6775991320610046
13,sts_train_3766,Greece bond exchange the largest debt restructuring in history,Greece secures biggest debt deal in history,0.5599999999999999,0.5527081489562988
14,sick_train_5313,The people are not sitting on a bench in front of a restaurant,The people are sitting on a bench in front of a restaurant,0.7,0.7895141243934631
15,sts_train_4969,Death toll from Philippine earthquake rises to 185,Death toll from Philippines quake rises to 144,0.7200000000000001,0.6568516492843628
16,sick_train_4918,Two white dogs are playing with a brown dog and a tennis ball,Two white dogs are playing with a brown dog and a ball,0.94,0.8559902906417847
17,sick_train_2592,A white dog is standing on fallen leaves,One white dog is standing on the leaves on the ground,0.9,0.9761204123497008
18,sick_train_5696,Two white dogs are not running together,Two white dogs are running together,0.6799999999999999,0.9143943190574646
19,sick_train_5767,A woman is putting make-up on,The woman is putting make-up on,0.96,0.9241626858711244
20,sick_train_3470,A group of people is gathering at a stand at the fair,No group of people is gathering at a stand at the fair,0.92,0.9720367789268494
21,sick_train_5117,A large dog and a small dog are standing next to the kitchen counter and are investigating,A large dog and a small dog is standing on the kitchen counter and investigate,0.8800000000000001,0.9211153984069824
22,sick_train_2766,A man is drinking orange juice and walking on a sunny day,There is no man drinking orange juice and walking on a sunny day,0.74,0.8398764729499817
23,sick_train_467,Two boys are doing martial arts on a blue mat,Two children in white outfits and red protective gear are sitting on a mat,0.62,0.705028772354126
24,sts_train_872,A man is frying a tortilla.,A person is performing a card trick.,0.0,0.1248091161251068
25,sick_train_1635,A child is splashing in a pool for children and other kids are playing in the background,A child is splashing in a pool for children and other children are playing in the background,0.98,0.9371448755264282
26,sts_train_1094,Two cats sitting together on the sofa looking out the window.,Two cats are looking at a window.,0.76,0.7554111480712891
27,sick_train_6093,A man is missing the soccer ball,A man is performing tricks with a soccer ball,0.7,0.7063078284263611
28,sick_train_6913,The men are not playing soccer,A man is riding a motorcycle,0.3,0.2217757403850555
29,sts_train_455,A man is slicing a pepper.,A person cuts a big green pepper apart.,0.76,0.76487797498703
30,sts_train_3256,The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis.,The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country.,0.8,0.7805148363113403
31,sick_train_3666,A man with a white moustache is standing on a balcony and is looking at the road below,A man is leaning on the ledge of a balcony,0.76,0.7430674433708191
32,sts_train_3372,"Pennsylvania, which has the most aggressive treatment program, is treating 548 of 8,030 inmates.","Texas, which has more than three times Michigan's inmate population, is treating 328 of its 16,298 infected inmates.",0.2666,0.2285282611846923
33,sts_train_5574,Red Sox Beat Tigers 5-2 to Advance to World Series,Red Sox beat Tigers to reach World Series,0.8,0.8511307239532471
34,sick_train_3291,The woman is sitting near a flower bed and is overlooking a tunnel,Two people are sitting on a bench,0.36,0.3228526413440704
35,sick_train_1065,A man is not playing the drums,A man is playing the guitar,0.5599999999999999,0.5057161450386047
36,sick_train_4318,The man is lifting weights,Weights are being lifted by the man,0.98,1.0562316179275513
37,sts_train_3480,"human rights violations in myanmar include summary executions, torture and the recruitment of child soldiers. ","these human rights violations include summary executions, torture and the recruitment of child",0.8400000000000001,0.8982694745063782
38,sick_train_2653,A girl is falling asleep,A girl is waking up,0.6799999999999999,0.751846969127655
39,sick_train_5466,A man is doing a skateboard trick on a park porch,A man is doing a trick on a skateboard,0.8800000000000001,0.8397294878959656
40,sts_train_650,The woman is dicing onions.,A woman is cutting an onion.,0.8800000000000001,0.9591037631034852
41,sick_train_11,A couple of policewomen are singing karaoke,Two women are not dancing,0.42,0.3513421416282654
42,sts_train_1784,a red and white race car racing on a dirt racetrack.,A person is riding a dirt bike in a race on a dirt track.,0.2799999999999999,0.2817250788211822
43,sick_train_3971,Two women are wearing bikinis and are walking on the sand,There are no women wearing bikinis on the sandy beach,0.7,0.6790129542350769
44,sts_train_4227,Germany warns Greece: No more money without reforms,Euro zone to Greece: No rescue without reforms,0.52,0.5646466612815857
45,sts_train_5222,"Obama condemns Egypt violence, cancels military exercises",Pakistan condemns violence in Egypt,0.16,0.1827541291713714
46,sts_train_2215,I thought that was mostly just the Dutch.,It is mostly just the Dutch.,0.8,0.7515009641647339
47,sts_train_2233,Irreligion that does that I have a problem.,Religion that doesn't do that I don't have a problem with.,0.32,0.3700679242610931
48,sts_train_2234,"If I'm angry, it will show up in one of those scans..","If I'm hyper active, it will show up in one of those scans..",0.6400000000000001,0.693057119846344
49,sick_train_1326,A horse and its rider are not leaping over a barrier,A horse is leaping a hurdle and has a rider on its back,0.92,0.9793878197669984
50,sts_train_3529,cambodia and vietnam finalized an agreement to stop asian and european drug traffickers. ,syrian and russian officials signed an agreement of cooperation in combating drug trafficking.,0.4,0.5222116112709045
51,sick_train_4572,A potato is being sliced by a person,A person is playing a piano,0.237,0.2882514894008636
52,sick_train_5872,A man is cutting a cord with a sword,A man is cutting a rope with a sword,0.9,0.8975135087966919
53,sts_train_2535,Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black's identity.,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.,0.95,0.9818392395973206
54,sick_train_5101,A cat is sliding upside down under a couch,A cat is not crawling under a piece of furniture,0.6799999999999999,0.7601013779640198
55,sick_train_4069,The small dog is walking outside and is carrying a colorful toy in its mouth,The large dog is walking outside and is carrying a colorful toy in its mouth,0.72,0.7849968671798706
56,sts_train_3177,"Knight agreed to a two-year, $2.38 million contract that included a $300,000 signing bonus.","ESPN reported that Knight's two-year deal is worth $2.38 million, including a $300,000 signing bonus.",0.95,0.9155412316322328
57,sick_train_5346,A dog is barking at a ball,A cat is swimming after a tennis ball,0.44,0.3844698369503021
58,sick_train_3492,A man isn't tossing a kid into the swimming pool that is near the ocean,The man is tossing a kid into the swimming pool that is near the ocean,0.7,0.6552069783210754
59,sts_train_4377,Generations divided over gay marriage,G20 Summit ends divided over Syria,0.0,0.1019355207681655
60,sick_train_138,Two dogs are running quickly through the park,Two dogs are running quickly through a park,1.0,0.9639961123466492
61,sts_train_3820,Israeli air strikes kill 16 in Gaza,Israel air strikes kill 4 in Gaza; death toll now at 38,0.44,0.499100774526596
62,sick_train_4958,A surfer in a black wetsuit is riding a foamy wave,A surfer is surfing a huge wave,0.82,0.8520722985267639
63,sts_train_5402,Glee star Cory Monteith found dead in hotel room in Canada,'Glee' star Cory Monteith found dead,0.8800000000000001,0.9085188508033752
64,sts_train_4148,At least 80 dead in northwest Iran quakes,"180 dead, 1,300 injured in northwest Iran earthquakes",0.52,0.4508881866931915
65,sick_train_2760,A person is peeling a banana,A banana is being peeled by a person,0.98,1.0774034261703491
66,sts_train_761,A woman is scraping a carrot.,A man is striking clay pots.,0.0,0.0770835503935813
67,sts_train_4217,China mine accident kills 10,China truck accident kills 20,0.32,0.3192175030708313
68,sick_train_2812,Some boys are playing on a trampoline,Some children are jumping on a trampoline,0.8800000000000001,0.9295708537101746
69,sts_train_1647,Two terriers play on the wood floor of their home.,Two puppies play with a red chew toy in a field.,0.32,0.274171382188797
70,sts_train_3273,Perry has called lawmakers into two special sessions to address congressional redistricting.,Perry has since called two special legislative sessions to try force the redistricting plan through.,0.75,0.7610241770744324
71,sick_train_6052,"A small boy in a shirt, which is yellow, is laughing on the beach",A small boy in a yellow shirt is laughing on the beach,1.0,0.8413615822792053
72,sick_train_796,"A dog, which has a black coat, is running in the grass and its tongue is hanging out",A black dog is running in the grass,0.8800000000000001,1.004834771156311
73,sts_train_1596,A bloody man and woman pose for a picture.,A man in woman dressed warmly pose for a picture.,0.4,0.4095272719860077
74,sick_train_4887,There is no family posing by the mantel and the Christmas tree,A happy family is posing by the fireplace,0.78,0.8488350510597229
75,sts_train_2771,"""Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush.""","""Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites).""",0.92,0.9164400696754456
