id,sentence1,sentence2,similarity,predicted_similarity
sts_train_4024,Sudan Blocks YouTube Over Anti-Islam Film,Pakistan's PM orders YouTube halt over anti-Islam film,0.5599999999999999,0.513401210308075
sts_train_1409,A man riding a white horse.,A woman leading a white horse.,0.36,0.36319857835769653
sts_train_3397,Mr Morse is charged with assault and Mr Darvish is charged with filing a false report.,His partner Bijan Darvish is charged with filing a false police report.,0.55,0.4742264747619629
sts_train_1532,A girl playing is a pile of colorful balls.,A little girl plays in a pit of colorful balls.,1.0,0.9307991862297058
sick_train_1874,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,0.98,0.9712345600128174
sts_train_133,A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.,0.8,0.8445296883583069
sick_train_3487,The girl is riding the horse,The man is riding the horse,0.58,0.6975135803222656
sick_train_896,A man elegantly dressed in black is wearing an elaborate black mask,A man dressed in black is wearing an elaborate black mask,0.94,0.9793475270271301
sick_train_1506,A woman is snowboarding down a railing in the snow,A man is skiing down a hill and over a red obstacle,0.52,0.5022332072257996
sick_train_4760,A cluster of four brown dogs are playing in a field of brown grass,A group of four brown dogs are playing in a field of brown grass,0.96,0.9903489351272583
sts_train_207,Two men are talking.,Two men are playing guitar.,0.3,0.27449700236320496
sts_train_2680,"He urged patience from Americans eager for the service, which is intended to block about 80 percent of telemarketing calls.",The free service was originally intended to block about 80 percent of telemarketer calls.,0.6000000000000001,0.605870246887207
sts_train_1298,"A black and white photo of a living room with a large window, sofa, and chair.",A black and white scene of a well furnished room with a view outlooking a forest.,0.6000000000000001,0.6877511739730835
sts_train_3766,Greece bond exchange the largest debt restructuring in history,Greece secures biggest debt deal in history,0.5599999999999999,0.4787234663963318
sick_train_5313,The people are not sitting on a bench in front of a restaurant,The people are sitting on a bench in front of a restaurant,0.7,0.7861385345458984
sts_train_4969,Death toll from Philippine earthquake rises to 185,Death toll from Philippines quake rises to 144,0.7200000000000001,0.7447800636291504
sick_train_4918,Two white dogs are playing with a brown dog and a tennis ball,Two white dogs are playing with a brown dog and a ball,0.94,0.9223419427871704
sick_train_2592,A white dog is standing on fallen leaves,One white dog is standing on the leaves on the ground,0.9,0.9136021733283997
sick_train_5696,Two white dogs are not running together,Two white dogs are running together,0.6799999999999999,0.7942936420440674
sick_train_5767,A woman is putting make-up on,The woman is putting make-up on,0.96,0.994745671749115
sick_train_3470,A group of people is gathering at a stand at the fair,No group of people is gathering at a stand at the fair,0.92,0.7613022327423096
sick_train_5117,A large dog and a small dog are standing next to the kitchen counter and are investigating,A large dog and a small dog is standing on the kitchen counter and investigate,0.8800000000000001,0.8895201086997986
sick_train_2766,A man is drinking orange juice and walking on a sunny day,There is no man drinking orange juice and walking on a sunny day,0.74,0.7830888628959656
sick_train_467,Two boys are doing martial arts on a blue mat,Two children in white outfits and red protective gear are sitting on a mat,0.62,0.6856675744056702
sts_train_872,A man is frying a tortilla.,A person is performing a card trick.,0.0,0.03486044332385063
sick_train_1635,A child is splashing in a pool for children and other kids are playing in the background,A child is splashing in a pool for children and other children are playing in the background,0.98,0.9714293479919434
sts_train_1094,Two cats sitting together on the sofa looking out the window.,Two cats are looking at a window.,0.76,0.6856295466423035
sick_train_6093,A man is missing the soccer ball,A man is performing tricks with a soccer ball,0.7,0.6995461583137512
sick_train_6913,The men are not playing soccer,A man is riding a motorcycle,0.3,0.25419989228248596
sts_train_455,A man is slicing a pepper.,A person cuts a big green pepper apart.,0.76,0.6714597940444946
sts_train_3256,The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis.,The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country.,0.8,0.8282302021980286
sick_train_3666,A man with a white moustache is standing on a balcony and is looking at the road below,A man is leaning on the ledge of a balcony,0.76,0.7546966075897217
sts_train_3372,"Pennsylvania, which has the most aggressive treatment program, is treating 548 of 8,030 inmates.","Texas, which has more than three times Michigan's inmate population, is treating 328 of its 16,298 infected inmates.",0.2666,0.25460711121559143
sts_train_5574,Red Sox Beat Tigers 5-2 to Advance to World Series,Red Sox beat Tigers to reach World Series,0.8,0.8425800204277039
sick_train_3291,The woman is sitting near a flower bed and is overlooking a tunnel,Two people are sitting on a bench,0.36,0.2796996831893921
sick_train_1065,A man is not playing the drums,A man is playing the guitar,0.5599999999999999,0.516057550907135
sick_train_4318,The man is lifting weights,Weights are being lifted by the man,0.98,1.002088189125061
sts_train_3480,"human rights violations in myanmar include summary executions, torture and the recruitment of child soldiers. ","these human rights violations include summary executions, torture and the recruitment of child",0.8400000000000001,0.8547811508178711
sick_train_2653,A girl is falling asleep,A girl is waking up,0.6799999999999999,0.795935869216919
sick_train_5466,A man is doing a skateboard trick on a park porch,A man is doing a trick on a skateboard,0.8800000000000001,0.8845104575157166
sts_train_650,The woman is dicing onions.,A woman is cutting an onion.,0.8800000000000001,0.93438720703125
sick_train_11,A couple of policewomen are singing karaoke,Two women are not dancing,0.42,0.3354441821575165
sts_train_1784,a red and white race car racing on a dirt racetrack.,A person is riding a dirt bike in a race on a dirt track.,0.2799999999999999,0.27910587191581726
sick_train_3971,Two women are wearing bikinis and are walking on the sand,There are no women wearing bikinis on the sandy beach,0.7,0.7479965090751648
sts_train_4227,Germany warns Greece: No more money without reforms,Euro zone to Greece: No rescue without reforms,0.52,0.5058555603027344
sts_train_5222,"Obama condemns Egypt violence, cancels military exercises",Pakistan condemns violence in Egypt,0.16,0.25770729780197144
sts_train_2215,I thought that was mostly just the Dutch.,It is mostly just the Dutch.,0.8,0.7728474736213684
sts_train_2233,Irreligion that does that I have a problem.,Religion that doesn't do that I don't have a problem with.,0.32,0.325832337141037
sts_train_2234,"If I'm angry, it will show up in one of those scans..","If I'm hyper active, it will show up in one of those scans..",0.6400000000000001,0.6535747647285461
sick_train_1326,A horse and its rider are not leaping over a barrier,A horse is leaping a hurdle and has a rider on its back,0.92,0.7696477174758911
sts_train_3529,cambodia and vietnam finalized an agreement to stop asian and european drug traffickers. ,syrian and russian officials signed an agreement of cooperation in combating drug trafficking.,0.4,0.4854883551597595
sick_train_4572,A potato is being sliced by a person,A person is playing a piano,0.237,0.22530071437358856
sick_train_5872,A man is cutting a cord with a sword,A man is cutting a rope with a sword,0.9,0.8960451483726501
sts_train_2535,Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black's identity.,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.,0.95,0.9867386817932129
sick_train_5101,A cat is sliding upside down under a couch,A cat is not crawling under a piece of furniture,0.6799999999999999,0.7204961180686951
sick_train_4069,The small dog is walking outside and is carrying a colorful toy in its mouth,The large dog is walking outside and is carrying a colorful toy in its mouth,0.72,0.9098857045173645
sts_train_3177,"Knight agreed to a two-year, $2.38 million contract that included a $300,000 signing bonus.","ESPN reported that Knight's two-year deal is worth $2.38 million, including a $300,000 signing bonus.",0.95,0.9562166929244995
sick_train_5346,A dog is barking at a ball,A cat is swimming after a tennis ball,0.44,0.31977397203445435
