id,sentence1,sentence2,similarity,predicted_similarity
sts_train_4024,Sudan Blocks YouTube Over Anti-Islam Film,Pakistan's PM orders YouTube halt over anti-Islam film,0.5599999999999999,0.03456167131662369
sts_train_1409,A man riding a white horse.,A woman leading a white horse.,0.36,0.03662041202187538
sts_train_3397,Mr Morse is charged with assault and Mr Darvish is charged with filing a false report.,His partner Bijan Darvish is charged with filing a false police report.,0.55,0.03584366291761398
sts_train_1532,A girl playing is a pile of colorful balls.,A little girl plays in a pit of colorful balls.,1.0,0.03750845789909363
sick_train_1874,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,0.98,0.03694353997707367
sts_train_133,A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.,0.8,0.03823690488934517
sick_train_3487,The girl is riding the horse,The man is riding the horse,0.58,0.035308752208948135
sick_train_896,A man elegantly dressed in black is wearing an elaborate black mask,A man dressed in black is wearing an elaborate black mask,0.94,0.03694353997707367
sick_train_1506,A woman is snowboarding down a railing in the snow,A man is skiing down a hill and over a red obstacle,0.52,0.036388251930475235
sick_train_4760,A cluster of four brown dogs are playing in a field of brown grass,A group of four brown dogs are playing in a field of brown grass,0.96,0.03236539661884308
sts_train_207,Two men are talking.,Two men are playing guitar.,0.3,0.036388251930475235
sts_train_2680,"He urged patience from Americans eager for the service, which is intended to block about 80 percent of telemarketing calls.",The free service was originally intended to block about 80 percent of telemarketer calls.,0.6000000000000001,0.036388251930475235
sts_train_1298,"A black and white photo of a living room with a large window, sofa, and chair.",A black and white scene of a well furnished room with a view outlooking a forest.,0.6000000000000001,0.03834185376763344
sts_train_3766,Greece bond exchange the largest debt restructuring in history,Greece secures biggest debt deal in history,0.5599999999999999,0.034378502517938614
sick_train_5313,The people are not sitting on a bench in front of a restaurant,The people are sitting on a bench in front of a restaurant,0.7,0.03607191890478134
sts_train_4969,Death toll from Philippine earthquake rises to 185,Death toll from Philippines quake rises to 144,0.7200000000000001,0.03456167131662369
sick_train_4918,Two white dogs are playing with a brown dog and a tennis ball,Two white dogs are playing with a brown dog and a ball,0.94,0.03555070608854294
sick_train_2592,A white dog is standing on fallen leaves,One white dog is standing on the leaves on the ground,0.9,0.03852756321430206
sick_train_5696,Two white dogs are not running together,Two white dogs are running together,0.6799999999999999,0.03880283236503601
sick_train_5767,A woman is putting make-up on,The woman is putting make-up on,0.96,0.03669426962733269
sick_train_3470,A group of people is gathering at a stand at the fair,No group of people is gathering at a stand at the fair,0.92,0.038128647953271866
sick_train_5117,A large dog and a small dog are standing next to the kitchen counter and are investigating,A large dog and a small dog is standing on the kitchen counter and investigate,0.8800000000000001,0.036818794906139374
sick_train_2766,A man is drinking orange juice and walking on a sunny day,There is no man drinking orange juice and walking on a sunny day,0.74,0.03746810927987099
sick_train_467,Two boys are doing martial arts on a blue mat,Two children in white outfits and red protective gear are sitting on a mat,0.62,0.03357786685228348
sts_train_872,A man is frying a tortilla.,A person is performing a card trick.,0.0,0.037218354642391205
sick_train_1635,A child is splashing in a pool for children and other kids are playing in the background,A child is splashing in a pool for children and other children are playing in the background,0.98,0.03746810927987099
sts_train_1094,Two cats sitting together on the sofa looking out the window.,Two cats are looking at a window.,0.76,0.03948841616511345
sick_train_6093,A man is missing the soccer ball,A man is performing tricks with a soccer ball,0.7,0.034699294716119766
sick_train_6913,The men are not playing soccer,A man is riding a motorcycle,0.3,0.03786396235227585
sts_train_455,A man is slicing a pepper.,A person cuts a big green pepper apart.,0.76,0.03880283236503601
sts_train_3256,The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis.,The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country.,0.8,0.03746810927987099
sick_train_3666,A man with a white moustache is standing on a balcony and is looking at the road below,A man is leaning on the ledge of a balcony,0.76,0.03961934894323349
sts_train_3372,"Pennsylvania, which has the most aggressive treatment program, is treating 548 of 8,030 inmates.","Texas, which has more than three times Michigan's inmate population, is treating 328 of its 16,298 infected inmates.",0.2666,0.036671724170446396
sts_train_5574,Red Sox Beat Tigers 5-2 to Advance to World Series,Red Sox beat Tigers to reach World Series,0.8,0.03939442336559296
sick_train_3291,The woman is sitting near a flower bed and is overlooking a tunnel,Two people are sitting on a bench,0.36,0.03792818263173103
sick_train_1065,A man is not playing the drums,A man is playing the guitar,0.5599999999999999,0.03632919117808342
sick_train_4318,The man is lifting weights,Weights are being lifted by the man,0.98,0.036211684346199036
