sentence1,sentence2,similarity,predicted_similarity
A woman is talking to a man,A man is talking to a woman,0.9,1.0
A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,0.4,0.358974358974359
A bike is next to a couple women.,A child next to a bike.,0.4,0.5714285714285714
A man is playing a bamboo flute,A flute is being played by the man,0.86,0.8571428571428571
A woman on a rock is lying on a blanket and reading a book,A woman is rocking over a blanket lying on someone reading a book,0.54,0.9230769230769231
The small bee is landing on a bunch of yellow flowers,A bee is clinging to a yellow flower,0.72,0.7
"Kids, adults, booksellers and postal workers all are preparing for ""Harry Potter and the Order of the Phoenix.""","The crates are full of hardback copies of ""Harry Potter and the Order of the Phoenix.""",0.44,0.4545454545454545
A woman in a bikini is pulling a dog on a leash at the beach,A woman in a bikini is pulling a cat on a leash at the beach,0.78,0.8333333333333334
A crowd of people is near the water,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,0.32,0.2307692307692307
A black dog and a small white and black dog are looking up at a kitchen countertop,A large dog and a small dog are standing next to the kitchen counter and are investigating,0.8400000000000001,0.4444444444444445
A child is amazedly experiencing a new world,A child is experiencing a new world,0.9,0.888888888888889
The herd of caribous is crossing a road,The herd of caribous is not crossing a road,0.6799999999999999,1.0
"Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years, but again was rebuffed March 19 at its annual conference in Geneva.","It has sought observer status for seven years, but was again rebuffed May 19 at the annual WHO conference in Geneva.",0.65,0.7738095238095238
A light brown dog is running in the water,A tan dog is playing in the water on the bank of a pond,0.8,0.6818181818181818
A woman is taking eggs out of a bowl,A woman is placing skewers onto a rack,0.38,0.33333333333333326
"What the Papers Say, Aug. 19, 2013","What the Papers Say, Dec. 30, 2013",0.534,0.5333333333333334
Pedestrians and cars are moving through a traffic jam in a big city,Some people and vehicles are on a crowded street,0.64,0.33333333333333326
Two girls are playing guitar,Two men are talking,0.307,0.380952380952381
A boy and a girl are naked,A boy and a girl in swimsuits are wearing arm floats,0.52,0.5185185185185186
A small man is sitting in a military accessories store,The person is slicing onions,0.2,0.11111111111111112
Runners are racing down a track,Men are running a race,0.78,0.4444444444444445
A man and a child are kayaking through gentle waters,A yellow kayak is being ridden by a man and a young boy,0.8800000000000001,0.484848484848485
A woman on a boulder is lying on a blanket and reading a book,A seated woman is singing a song and playing the guitar,0.52,0.3888888888888888
Six children are cleaning a room.,Two male children cleaning up leaves in a parking lot.,0.32,0.5151515151515152
Two little boys are playing outside with a soccer ball on the green grass,There are no little boys playing outside with a soccer ball on the green grass,0.64,0.9607843137254901
The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,0.72,0.861111111111111
Boys are dancing in front of some people,Two men are doing a funny skit with a boxer in front of a crowd of people,0.44,0.41666666666666663
A woman is adding ingredients to a big bowl,A woman is cracking some eggs into a bowl,0.86,0.6296296296296297
Dirt bikers are not riding on a trail,Dirt bikers are riding on a trail,0.8,0.75
Nelson Mandela in Hospital for Tests,South Africa: Mandela in hospital for tests,0.92,0.6666666666666666
A band is performing on a stage,A band is playing onstage,0.98,0.6111111111111112
The man is cutting cooked octopus,A woman is chopping up an octopus,0.817,0.23809523809523808
A middle eastern man is standing with the back against a lamp post near to other people,A middle eastern man is standing against a lamp post near to other people,0.9,0.9607843137254901
A man is drawing,There is no man drawing,0.76,1.0
A man in a hat is standing outside of a green jeep,A man in a hat is standing outside of a green vehicle,0.9,0.8333333333333334
The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,0.52,0.5666666666666667
The person with the green shirt is jumping high over the grass,A young boy is jumping in the air with his knees bent and arms spread,0.6,0.35714285714285715
A girl in a band is playing the flute,A girl in a band is playing an instrument,0.8800000000000001,0.75
A yellow dog is running down a path covered by sand,A golden retriever is running,0.72,0.3703703703703704
A small dog is lying on a bed,A small dog is lying under the bed,0.62,1.0
A man is not cutting a potato,A man is cutting a potato,0.72,1.0
A person is stupidly throwing a cat at the ceiling,A person is throwing a cat at the ceiling,0.8800000000000001,0.888888888888889
