id,s1,s2,score
sts_train_4024,"['sudan', 'block', 'youtub', 'antiislam', 'film']","['pakistan', 'pm', 'order', 'youtub', 'halt', 'antiislam', 'film']",0.5599999999999999
sts_train_1409,"['man', 'ride', 'white', 'hors']","['woman', 'lead', 'white', 'hors']",0.36
sts_train_3397,"['mr', 'mors', 'charg', 'assault', 'mr', 'darvish', 'charg', 'file', 'fals', 'report']","['partner', 'bijan', 'darvish', 'charg', 'file', 'fals', 'polic', 'report']",0.55
sts_train_1532,"['girl', 'play', 'pile', 'color', 'ball']","['littl', 'girl', 'play', 'pit', 'color', 'ball']",1.0
sick_train_1874,"['person', 'black', 'jacket', 'trick', 'motorbik']","['man', 'black', 'jacket', 'trick', 'motorbik']",0.98
sts_train_133,"['man', 'woman', 'drive', 'street', 'jeep']","['man', 'woman', 'drive', 'road', 'open', 'air', 'vehicl']",0.8
sick_train_3487,"['girl', 'ride', 'hors']","['man', 'ride', 'hors']",0.58
sick_train_896,"['man', 'elegantli', 'dress', 'black', 'wear', 'elabor', 'black', 'mask']","['man', 'dress', 'black', 'wear', 'elabor', 'black', 'mask']",0.94
sick_train_1506,"['woman', 'snowboard', 'rail', 'snow']","['man', 'ski', 'hill', 'red', 'obstacl']",0.52
sick_train_4760,"['cluster', 'four', 'brown', 'dog', 'play', 'field', 'brown', 'grass']","['group', 'four', 'brown', 'dog', 'play', 'field', 'brown', 'grass']",0.96
sts_train_207,"['two', 'men', 'talk']","['two', 'men', 'play', 'guitar']",0.3
sts_train_2680,"['urg', 'patienc', 'american', 'eager', 'servic', 'intend', 'block', 'num', 'percent', 'telemarket', 'call']","['free', 'servic', 'origin', 'intend', 'block', 'num', 'percent', 'telemarket', 'call']",0.6000000000000001
sts_train_1298,"['black', 'white', 'photo', 'live', 'room', 'larg', 'window', 'sofa', 'chair']","['black', 'white', 'scene', 'well', 'furnish', 'room', 'view', 'outlook', 'forest']",0.6000000000000001
sts_train_3766,"['greec', 'bond', 'exchang', 'largest', 'debt', 'restructur', 'histori']","['greec', 'secur', 'biggest', 'debt', 'deal', 'histori']",0.5599999999999999
sick_train_5313,"['peopl', 'sit', 'bench', 'front', 'restaur']","['peopl', 'sit', 'bench', 'front', 'restaur']",0.7
sts_train_4969,"['death', 'toll', 'philippin', 'earthquak', 'rise', 'num']","['death', 'toll', 'philippin', 'quak', 'rise', 'num']",0.7200000000000001
